ItemCode,MaxAging,MinAging,MaxAgingUnit,MinAgingUnit,Equipment
000000001053839500,120.0,4.0,Hours,Hours,Final Mixing
24MG,360.0,4.0,Hours,Hours,Master Mixing
24MGAMC,,,,,Mixing
24MGBMC,,,,,Mixing
25G,120.0,4.0,Hours,Hours,Final Mixing
25GFC,,,,,Mixing
29MG,360.0,4.0,Hours,Hours,Master Mixing
29MGMC,,,,,Mixing
30G,120.0,4.0,Hours,Hours,Final Mixing
30GFC,,,,,Mixing
A1031,120.0,4.0,Hours,Hours,Final Mixing
A1031FC,,,,,Mixing
A1035FC,,,,,Mixing
A1133,120.0,4.0,Hours,Hours,Final Mixing
A1133FC,,,,,Mixing
A5542,120.0,4.0,Hours,Hours,Final Mixing
A5542FC,,,,,Mixing
AP 0011,,,,,Bead
AP 0012,,,,,Unknown
AP 0018,,,,,Bead
AP 0022,,,,,Unknown
AP0007,,,,,Bead
AP0009,,,,,Unknown
AP0018T1,,,,,Bead
B1,120.0,4.0,Hours,Hours,Final Mixing
B1-1462 NXT,24.0,0.0,Hours,Hours,Cutting
B1-1482 NXT,24.0,0.0,Hours,Hours,Cutting
B1-1684 TOR MARUTI,24.0,0.0,Hours,Hours,Cutting
B1-1865 VEC,24.0,0.0,Hours,Hours,Cutting
B1-2155 BRU,24.0,0.0,Hours,Hours,Cutting
B1-PBLT001,24.0,0.0,Hours,Hours,Cutting
B1-PBLT002,24.0,0.0,Hours,Hours,Cutting
B1-PBLT003,24.0,0.0,Hours,Hours,Cutting
B1-PBLT004,24.0,0.0,Hours,Hours,Cutting
B1-PBLT005,24.0,0.0,Hours,Hours,Cutting
B1-PBLT006,24.0,0.0,Hours,Hours,Cutting
B1-PBLT007,24.0,0.0,Hours,Hours,Cutting
B1-PBLT008,24.0,0.0,Hours,Hours,Cutting
B1-PBLT009,24.0,0.0,Hours,Hours,Cutting
B1-PBLT010,24.0,0.0,Hours,Hours,Cutting
B1-PBLT011,24.0,0.0,Hours,Hours,Cutting
B1-PBLT012,24.0,0.0,Hours,Hours,Cutting
B1-PBLT013,24.0,0.0,Hours,Hours,Cutting
B1-PBLT014,24.0,0.0,Hours,Hours,Cutting
B1-PBLT015,24.0,0.0,Hours,Hours,Cutting
