ItemCode,ItemType
000000001010001000,Natural rubber
000000001010001500,Natural rubber
000000001010002000,Natural rubber
000000001011037600,Synethic rubber
000000001011084200,Synethic rubber
000000001011122700,Synethic rubber
000000001011125000,Synethic rubber
000000001011137600,Synethic rubber
000000001011150200,Synethic rubber
000000001011172300,Synethic rubber
000000001011173900,Synethic rubber
000000001011252000,Synethic rubber
000000001011925100,Synethic rubber
000000001011925200,Synethic rubber
000000001011925500,Synethic rubber
000000001012096200,Synethic rubber
000000001012096800,Natural rubber
000000001012099500,Misc.
000000001012099800,Natural rubber
000000001031233800,Nylon fabric
000000001032281000,Nylon fabric
000000001032281100,Nylon fabric
000000001034252300,Nylon fabric
000000001034284200,Nylon fabric
000000001034284300,Nylon fabric
000000001034287600,Nylon fabric
000000001034301600,Nylon fabric
000000001034307600,Nylon fabric
000000001035161200,Nylon fabric
000000001035422500,Nylon fabric
000000001050016300,Rubber chemicals
000000001050022400,Rubber chemicals
000000001050027200,Rubber chemicals
000000001050051400,Rubber chemicals
000000001050077400,Rubber chemicals
000000001050121800,Rubber chemicals
000000001051010800,Rubber chemicals
000000001051014600,Rubber chemicals
000000001051020000,Rubber chemicals
000000001051023500,Rubber chemicals
000000001051026700,Rubber chemicals
000000001051032700,Rubber chemicals
000000001051073200,Rubber chemicals
000000001051100500,Rubber chemicals
000000001051190700,Rubber chemicals
000000001051190800,Rubber chemicals
000000001052028000,Rubber chemicals
000000001052062600,Rubber chemicals
000000001052072700,Rubber chemicals
000000001053005400,Rubber chemicals
000000001053031200,Rubber chemicals
000000001053032200,Rubber chemicals
000000001053032600,Rubber chemicals
000000001053035200,Rubber chemicals
000000001053035400,Rubber chemicals
000000001053045500,Process oil
000000001053047900,Rubber chemicals
000000001053056600,Rubber chemicals
000000001053063800,Misc.
000000001053075500,Process oil
000000001053077500,Rubber chemicals
000000001053082500,Rubber chemicals
000000001053082900,Rubber chemicals
000000001053101500,Rubber chemicals
000000001053158300,Rubber chemicals
000000001053158400,Rubber chemicals
000000001053751600,Rubber chemicals
000000001053775100,Rubber chemicals
000000001053775200,Rubber chemicals
000000001053839500,FINAL COMPOUND
000000001054042600,Rubber chemicals
000000001054091000,Rubber chemicals
000000001054097200,Rubber chemicals
000000001054110400,Rubber chemicals
000000001054130400,Rubber chemicals
000000001054861400,Rubber chemicals
000000001054861500,Rubber chemicals
000000001055000700,Rubber chemicals
000000001055007700,Rubber chemicals
000000001055007800,Rubber chemicals
000000001055011000,Rubber chemicals
000000001055014400,Rubber chemicals
000000001055014700,Rubber chemicals
000000001055015400,Rubber chemicals
000000001055022800,Rubber chemicals
000000001055055200,Rubber chemicals
000000001055055300,Rubber chemicals
000000001055083100,Zince oxide
000000001055718600,Tube Valves &Acce.
000000001055777700,Rubber chemicals
000000WA,Work Away
0020,Natural rubber
0224,Rubber chemicals
0352,Rubber chemicals
0727,Rubber chemicals
0842,Synethic rubber
1010003L00,Natural rubber
1010010A00,Synethic rubber
1010011A00,Natural rubber
1010020A00,Natural rubber
1010EU1100,Natural rubber
1010EU2000,Natural rubber
1010RS0100,Natural rubber
1011044A00,Synethic rubber
1011044B00,Synethic rubber
1011044F00,Synethic rubber
1011044J00,Synethic rubber
1011044S00,Synethic rubber
1011044U00,Synethic rubber
1011044W00,Synethic rubber
1011053A00,Synethic rubber
101144NS00,Synethic rubber
1011B23000,Synethic rubber
1011B35500,Synethic rubber
1011B72300,Synethic rubber
1011B73900,Synethic rubber
1011BO5200,Synethic rubber
1011BR4000,Synethic rubber
1011H26500,Synethic rubber
1011H62000,Synethic rubber
1020N13400,Carbon black
1020N22000,Carbon black
1020N23400,Carbon black
1020N32600,Carbon black
1020N33000,Carbon black
1020N33900,Carbon black
1020N55000,Carbon black
1020N66000,Carbon black
1020ND1300,Carbon black
1020P77400,Carbon black
1020SC3300,Carbon black
1020SC8000,Carbon black
103125EW00,Nylon fabric
1035BW3200,Nylon fabric
1036S30200,Steel tyre cord
1036S31100,Steel tyre cord
1036S32200,Steel tyre cord
1036S33500,Steel tyre cord
1036S34500,Steel tyre cord
1036S42100,Steel tyre cord
1036S53800,Steel tyre cord
1036S55000,Steel tyre cord
1036S56400,Steel tyre cord
1036S56500,Steel tyre cord
1036X31100,Steel tyre cord
103723EB00,Nylon fabric
1040S12400,Bead wire
