finished_product,finished_product_stock,successor_products,routed_product,operation_seq,operation_name,department,Equipment,machines,alt_machine_count,flow_type,predecessor_rule,input_components_from_bom,proc_time,proc_time_UOM,batch_size,batch_UNIT,transfer_time_min,is_primary,efficiency,all_machine_spec
1325215813079TUNE3,1325215813079TUNE3,,1325215813079TUNE3,200,CURING,CURING,TBM PCR,"""4501"",""4502"",""4503"",""4504"",""4505"",""4506"",""4507"",""4508"",""4509"",""4510"",""4511"",""4512"",""4513"",""4514"",""4515""",14,,,GT 1503 NEO MSIL,10.6,MIN,,,90,,0.96,
1325215813079TUNE3,GT 1503 NEO MSIL,1325215813079TUNE3,GT 1503 NEO MSIL,190,GT BUILDING,BUILDING,TBM PCR,"""3403"",""3404"",""3405"",""3410""",3,,,"CAP 66 - CAPSTRIP,B1-PBLT001,B2-PBLT001,TRD 1503 NEO MSIL,IL007,PBP143,SWRS103,BA13001",47.84,SEC,1,NOS,15,,0.96,
1325215813079TUNE3,BA13001,GT 1503 NEO MSIL,BA13001,180,BEAD APEXING,BEAD APEXING,TBM PCR,"""201"", ""202"","" 0301""",2,"PARALLEL_RAW_COMPOUND_PREP,BW13002 PREP,HS108 PREP",BW13002 Master compound available / HS108 Master compound available / raw material available,"BW13002,HS108",5.217391304347826,NOS/MIN,,,7,,0.96,
1325215813079TUNE3,BA13001,BA13001,BW13002,170,BEAD WINDING PCR,BEAD WINDING PCR,TBM PCR,"""1201""",0,"PARALLEL_RAW_COMPOUND_PREP,S53 PREP",S53 Master compound available / raw material available,"1040S12400,S53",20,NOS/MIN,,,0,,0.96,
1325215813079TUNE3,CAP 66 - CAPSTRIP,GT 1503 NEO MSIL,CAP 66 - CAPSTRIP,140,CAP PLY SLITTER,CAP PLY SLITTER,TBM PCR,"""701"",""702""",1,,,Cap 66 - MOTHER ROLL,60,M/MIN,,,5,,0.96,
1325215813079TUNE3,B1-PBLT001,B1-PBLT001,EGSL01,130,EDGE GUM,SLITTER,TBM PCR,"""601""",0,"PARALLEL_RAW_COMPOUND_PREP,EG01 PREP",EG01 Master compound available / raw material available,EG01,30,M/MIN,,,10,,0.96,
1325215813079TUNE3,B1-PBLT001,GT 1503 NEO MSIL,B1-PBLT001,100,BELT CUTTER,CUTTING,TBM PCR,"""801""",0,"PARALLEL_RAW_COMPOUND_PREP,CPJ120 PREP,EGSL01 PREP",CPJ120 Master compound available / EGSL01 Master compound available / raw material available,"CPJ120,EGSL01",15,CUTS/MIN,,,10,,0.96,
1325215813079TUNE3,B2-PBLT001,GT 1503 NEO MSIL,B2-PBLT001,100,BELT CUTTER,CUTTING,TBM PCR,"""801""",0,"PARALLEL_RAW_COMPOUND_PREP,CPJ120 PREP",CPJ120 Master compound available / raw material available,CPJ120,15,CUTS/MIN,,,10,,0.96,
1325215813079TUNE3,PBP143,GT 1503 NEO MSIL,PBP143,90,PLY CUTTER,PLY CUTTER,TBM PCR,"""1103""",0,"PARALLEL_RAW_COMPOUND_PREP,HTPOLY350 PREP",HTPOLY350 Master compound available/ raw material available,HTPOLY350,15,CUTS/MIN,,,10,,0.96,
1325215813079TUNE3,TRD 1503 NEO MSIL,GT 1503 NEO MSIL,TRD 1503 NEO MSIL,80,EXTRUSION,EXTRUDER,TBM PCR,"""1002""",0,"PARALLEL_RAW_COMPOUND_PREP,T1333 PREP,T15 PREP,B815 PREP,T345M PREP",T1333 Master compound available / T15 Master compound available / B815 Master compound available / T435M Master compound available/ raw material available,"T1333,T1333,T15,B815,T435M",29,M/MIN,,,15,,0.96,
