item_code,item_type,sku,block_id,demand_qty,demand_uom
GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00685,69.0,NOS
CAP 66 - CAPSTRIP,Cap Strip,1325215813079TUNE3,B00685,1389453.0,MM
B1-PBLT001,Steel Belt,1325215813079TUNE3,B00685,69.0,NOS
B2-PBLT001,Steel Belt,1325215813079TUNE3,B00685,69.0,NOS
TRD 1503 NEO MSIL,Tread,1325215813079TUNE3,B00685,116955.0,MM
IL007,Inner Liner,1325215813079TUNE3,B00685,69000.0,MM
PBP143,Ply,1325215813079TUNE3,B00685,69.0,NOS
SWRS103,SideWall,1325215813079TUNE3,B00685,83835.00000000001,MM
BA13001,Bead Apex,1325215813079TUNE3,B00685,138.0,NOS
Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,B00685,6900.0,MM
1032281000,Nylon fabric,1325215813079TUNE3,B00685,1.5456,KG
B616M,FINAL COMPOUND,1325215813079TUNE3,B00685,8.066099999999993,KG
MB614,MASTER COMPOUND,1325215813079TUNE3,B00685,7.695809734883718,KG
B616MFC,SMALL CHEMICAL,1325215813079TUNE3,B00685,0.3702902651162757,KG
1010001000,Natural rubber,1325215813079TUNE3,B00685,25.206341778188186,KG
1011172300,Synthetic rubber,1325215813079TUNE3,B00685,11.97611392300847,KG
1011150200,Synthetic rubber,1325215813079TUNE3,B00685,0.8908631121051837,KG
1020N33000,Carbon black,1325215813079TUNE3,B00685,15.711990524001145,KG
MB614MC,SMALL CHEMICAL,1325215813079TUNE3,B00685,0.3054360587058711,KG
CPJ120,CALANDARED ROLL,1325215813079TUNE3,B00685,27030.141176470584,MM
EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,B00685,32765.142857142855,MM
1036S34500,Steel tyre cord,1325215813079TUNE3,B00685,27.184753583999992,KG
B460,FINAL COMPOUND,1325215813079TUNE3,B00685,34.32557628,KG
MB1232,MASTER COMPOUND,1325215813079TUNE3,B00685,31.760519579803628,KG
B460FC,SMALL CHEMICAL,1325215813079TUNE3,B00685,2.5650567001963607,KG
MB231,MASTER COMPOUND,1325215813079TUNE3,B00685,31.434092002804167,KG
MB1232MC,SMALL CHEMICAL,1325215813079TUNE3,B00685,0.3264275621958249,KG
MB230,MASTER COMPOUND,1325215813079TUNE3,B00685,22.40451896987065,KG
1020N32600,Carbon black,1325215813079TUNE3,B00685,14.414033476473167,KG
1053755A00,Process oil,1325215813079TUNE3,B00685,16.6316632143116,KG
MB231MC,SMALL CHEMICAL,1325215813079TUNE3,B00685,0.4051955410827837,KG
1010RSS300,Natural rubber,1325215813079TUNE3,B00685,17.62019395028177,KG
MB230MC,SMALL CHEMICAL,1325215813079TUNE3,B00685,1.2597740933718797,KG
T1333,FINAL COMPOUND,1325215813079TUNE3,B00685,99.429,KG
T15,FINAL COMPOUND,1325215813079TUNE3,B00685,23.184,KG
B815,FINAL COMPOUND,1325215813079TUNE3,B00685,10.419,KG
T435M,FINAL COMPOUND,1325215813079TUNE3,B00685,8.418,KG
