lot_id,item_code,item_type,sku,block_id,qty,uom,need_by,consume_at,duration_h,operation,department,machines,min_aging_h,max_aging_h,pooled,member_blocks,sub
L000000,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00685,69.0,NOS,2026-04-01 07:00:00+05:30,2026-04-01 07:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00685""]",0
L000001,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00686,69.0,NOS,2026-04-01 15:00:00+05:30,2026-04-01 15:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00686""]",0
L000002,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00687,69.0,NOS,2026-04-01 23:00:00+05:30,2026-04-01 23:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00687""]",0
L000003,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00688,69.0,NOS,2026-04-02 07:00:00+05:30,2026-04-02 07:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00688""]",0
L000004,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00689,69.0,NOS,2026-04-02 15:00:00+05:30,2026-04-02 15:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00689""]",0
L000005,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00690,69.0,NOS,2026-04-02 23:00:00+05:30,2026-04-02 23:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00690""]",0
L000006,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00691,69.0,NOS,2026-04-03 07:00:00+05:30,2026-04-03 07:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00691""]",0
L000007,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00692,69.0,NOS,2026-04-03 15:00:00+05:30,2026-04-03 15:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00692""]",0
L000008,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00693,69.0,NOS,2026-04-03 23:00:00+05:30,2026-04-03 23:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00693""]",0
L000009,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00694,69.0,NOS,2026-04-04 07:00:00+05:30,2026-04-04 07:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00694""]",0
L000010,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,B00695,69.0,NOS,2026-04-04 15:00:00+05:30,2026-04-04 15:00:00+05:30,0.9169333333333333,GT BUILDING,BUILDING,"""3403"",""3404"",""3405"",""3410""",0.0,8.0,False,"[""B00695""]",0
