producer_lot,consumer_lot
L000450,L000000
L000450,L000064
L000450,L000128
L000450,L000192
L000450,L000257
L000450,L000321
L000450,L000385
L000451,L000000
L000451,L000064
L000451,L000128
L000451,L000192
L000451,L000257
L000451,L000321
L000451,L000385
L000452,L000464
L000452,L000487
L000452,L000509
L000452,L000511
L000452,L000520
L000452,L000523
L000453,L000465
L000453,L000510
L000453,L000521
L000453,L000535
L000454,L000450
L000454,L000451
L000454,L000460
L000454,L000503
L000454,L000504
L000454,L000506
L000455,L000459
L000455,L000461
L000455,L000505
L000455,L000507
L000455,L000516
L000455,L000518
L000455,L000529
L000455,L000531
L000456,L000494
L000456,L000525
L000457,L000000
L000457,L000001
L000457,L000064
L000457,L000065
L000457,L000128
L000457,L000129
L000457,L000192
L000457,L000193
L000457,L000257
L000457,L000258
L000457,L000321
L000457,L000322
L000457,L000385
L000457,L000386
L000458,L000457
L000458,L000515
L000458,L000548
L000458,L000583
L000458,L000616
L000458,L001585
L000459,L000000
L000459,L000064
L000459,L000128
L000459,L000192
L000459,L000257
L000459,L000321
L000459,L000385
L000460,L000450
L000460,L000451
L000461,L000459
L000462,L000450
L000463,L000457
L000463,L000515
L000464,L000487
L000465,L000000
L000465,L000064
L000465,L000128
L000465,L000192
L000465,L000257
L000465,L000321
L000465,L000385
L000466,L000465
L000466,L000510
L000466,L000521
L000467,L000490
L000467,L000524
L000468,L000450
L000468,L000451
L000468,L000454
L000468,L000503
L000468,L000504
L000468,L000512
L000468,L000513
L000468,L000514
L000468,L000526
L000468,L000527
L000468,L000542
L000468,L000543
L000468,L000545
L000468,L000560
L000468,L000561
L000468,L000569
L000468,L000570
L000468,L000571
L000468,L000581
L000468,L000582
L000468,L000593
L000468,L000594
L000468,L000597
L000468,L001582
L000468,L001583
L000469,L000450
L000469,L000451
L000469,L000470
L000469,L000503
L000469,L000504
L000469,L000512
L000469,L000513
L000469,L000522
L000469,L000526
L000469,L000527
L000469,L000542
L000469,L000543
L000469,L000555
L000469,L000560
