lot_id,n_predecessors,n_successors,is_terminal,is_root
L000000,8,0,True,False
L000001,8,0,True,False
L000002,8,0,True,False
L000003,8,0,True,False
L000004,8,0,True,False
L000005,8,0,True,False
L000006,8,0,True,False
L000007,8,0,True,False
L000008,8,0,True,False
L000009,8,0,True,False
L000010,8,0,True,False
L000011,8,0,True,False
L000012,8,0,True,False
L000013,8,0,True,False
L000014,8,0,True,False
L000015,8,0,True,False
L000016,8,0,True,False
L000017,8,0,True,False
L000018,8,0,True,False
L000019,8,0,True,False
L000020,8,0,True,False
L000021,8,0,True,False
L000022,8,0,True,False
L000023,8,0,True,False
L000024,8,0,True,False
L000025,8,0,True,False
L000026,8,0,True,False
L000027,8,0,True,False
L000028,8,0,True,False
L000029,8,0,True,False
L000030,8,0,True,False
L000031,8,0,True,False
L000032,8,0,True,False
L000033,8,0,True,False
L000034,8,0,True,False
L000035,8,0,True,False
L000036,8,0,True,False
L000037,8,0,True,False
L000038,8,0,True,False
L000039,8,0,True,False
L000040,8,0,True,False
L000041,8,0,True,False
L000042,8,0,True,False
L000043,8,0,True,False
L000044,8,0,True,False
L000045,8,0,True,False
L000046,8,0,True,False
L000047,8,0,True,False
L000048,8,0,True,False
L000049,8,0,True,False
L000050,8,0,True,False
L000051,8,0,True,False
L000052,8,0,True,False
L000053,8,0,True,False
L000054,8,0,True,False
L000055,8,0,True,False
L000056,8,0,True,False
L000057,8,0,True,False
L000058,8,0,True,False
L000059,8,0,True,False
L000060,8,0,True,False
L000061,8,0,True,False
L000062,8,0,True,False
L000063,8,0,True,False
L000064,8,0,True,False
L000065,8,0,True,False
L000066,8,0,True,False
L000067,8,0,True,False
L000068,8,0,True,False
L000069,8,0,True,False
L000070,8,0,True,False
L000071,8,0,True,False
L000072,8,0,True,False
L000073,8,0,True,False
L000074,8,0,True,False
L000075,8,0,True,False
L000076,8,0,True,False
L000077,8,0,True,False
L000078,8,0,True,False
L000079,8,0,True,False
L000080,8,0,True,False
L000081,8,0,True,False
L000082,8,0,True,False
L000083,8,0,True,False
L000084,8,0,True,False
L000085,8,0,True,False
L000086,8,0,True,False
L000087,8,0,True,False
L000088,8,0,True,False
L000089,8,0,True,False
L000090,8,0,True,False
L000091,8,0,True,False
L000092,8,0,True,False
L000093,8,0,True,False
L000094,8,0,True,False
L000095,8,0,True,False
L000096,8,0,True,False
L000097,8,0,True,False
L000098,8,0,True,False
L000099,8,0,True,False
L000100,8,0,True,False
L000101,8,0,True,False
L000102,8,0,True,False
L000103,8,0,True,False
L000104,8,0,True,False
L000105,8,0,True,False
L000106,8,0,True,False
L000107,8,0,True,False
L000108,8,0,True,False
L000109,8,0,True,False
L000110,8,0,True,False
L000111,8,0,True,False
L000112,8,0,True,False
L000113,8,0,True,False
L000114,8,0,True,False
L000115,8,0,True,False
L000116,8,0,True,False
L000117,8,0,True,False
L000118,8,0,True,False
L000119,8,0,True,False
L000120,8,0,True,False
L000121,8,0,True,False
L000122,8,0,True,False
L000123,8,0,True,False
L000124,8,0,True,False
L000125,8,0,True,False
L000126,8,0,True,False
L000127,8,0,True,False
L000128,8,0,True,False
L000129,8,0,True,False
L000130,8,0,True,False
L000131,8,0,True,False
L000132,8,0,True,False
L000133,8,0,True,False
L000134,8,0,True,False
L000135,8,0,True,False
L000136,8,0,True,False
L000137,8,0,True,False
L000138,8,0,True,False
L000139,8,0,True,False
L000140,8,0,True,False
L000141,8,0,True,False
L000142,8,0,True,False
L000143,8,0,True,False
L000144,8,0,True,False
L000145,8,0,True,False
L000146,8,0,True,False
L000147,8,0,True,False
L000148,8,0,True,False
L000149,8,0,True,False
L000150,8,0,True,False
L000151,8,0,True,False
L000152,8,0,True,False
L000153,8,0,True,False
L000154,8,0,True,False
L000155,8,0,True,False
L000156,8,0,True,False
L000157,8,0,True,False
L000158,8,0,True,False
L000159,8,0,True,False
L000160,8,0,True,False
L000161,8,0,True,False
L000162,8,0,True,False
L000163,8,0,True,False
L000164,8,0,True,False
L000165,8,0,True,False
L000166,8,0,True,False
L000167,8,0,True,False
L000168,8,0,True,False
L000169,8,0,True,False
L000170,8,0,True,False
L000171,8,0,True,False
L000172,8,0,True,False
L000173,8,0,True,False
L000174,8,0,True,False
L000175,8,0,True,False
L000176,8,0,True,False
L000177,8,0,True,False
L000178,8,0,True,False
L000179,8,0,True,False
L000180,8,0,True,False
L000181,8,0,True,False
L000182,8,0,True,False
L000183,8,0,True,False
L000184,8,0,True,False
L000185,8,0,True,False
L000186,8,0,True,False
L000187,8,0,True,False
L000188,8,0,True,False
