lot_id,item,item_type,sku,operation,department,machine,scheduled_start,scheduled_finish,duration_h,qty,uom,status
L000481,MS65,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-30 21:41:04+05:30,2026-03-30 21:46:14+05:30,0.08633333333333333,690.0,KG,PLACED
L000479,MS105,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 00:51:00+05:30,2026-03-31 00:56:21+05:30,0.089,670.0,KG,PLACED
L000482,MS66,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 01:50:14+05:30,2026-03-31 01:54:14+05:30,0.06666666666666667,710.0,KG,PLACED
L000498,XMS106,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 05:00:21+05:30,2026-03-31 05:08:21+05:30,0.1335,1005.0,KG,PLACED
L000480,MS1066,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,F270,2026-03-31 05:58:14+05:30,2026-03-31 06:01:55+05:30,0.06133333333333333,430.0,KG,PLACED
L000469,MB230,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 06:08:05+05:30,2026-03-31 06:19:45+05:30,0.19466666666666665,1420.0,KG,PLACED
L000625,MB230,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 06:08:05+05:30,2026-03-31 06:19:45+05:30,0.19466666666666665,1420.0,KG,PLACED
L000474,MB802,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-03-31 08:11:38+05:30,2026-03-31 08:17:28+05:30,0.09733333333333333,700.0,KG,PLACED
L000472,MB357,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 09:01:49+05:30,2026-03-31 09:08:19+05:30,0.10833333333333334,680.0,KG,PLACED
L000499,XMS1106,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 09:12:21+05:30,2026-03-31 09:18:56+05:30,0.1095,1050.0,KG,PLACED
L000483,MT1300,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 09:26:30+05:30,2026-03-31 10:21:45+05:30,0.9208333333333333,6205.0,KG,PLACED
L000471,MB352,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 10:01:54+05:30,2026-03-31 10:22:54+05:30,0.35,2040.0,KG,PLACED
L000489,S53,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 10:05:55+05:30,2026-03-31 10:09:25+05:30,0.058333333333333334,430.0,KG,PLACED
L000470,MB231,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 10:23:45+05:30,2026-03-31 10:29:15+05:30,0.09166666666666666,730.0,KG,PLACED
L000522,MB231,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 10:24:54+05:30,2026-03-31 10:30:24+05:30,0.09166666666666666,730.0,KG,PLACED
L000555,MB231,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 10:29:15+05:30,2026-03-31 10:34:45+05:30,0.09166666666666666,730.0,KG,PLACED
L000579,MB231,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 10:30:24+05:30,2026-03-31 10:35:54+05:30,0.09166666666666666,730.0,KG,PLACED
L000608,MB231,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 10:34:45+05:30,2026-03-31 10:40:15+05:30,0.09166666666666666,730.0,KG,PLACED
L000486,MT507,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 11:38:17+05:30,2026-03-31 12:03:39+05:30,0.4226666666666667,1440.0,KG,PLACED
L000475,MB813,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-03-31 12:21:28+05:30,2026-03-31 12:26:39+05:30,0.08633333333333333,710.0,KG,PLACED
L000477,MR156,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 12:34:44+05:30,2026-03-31 12:44:44+05:30,0.16666666666666666,1480.0,KG,PLACED
L000476,ML405,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 12:55:26+05:30,2026-03-31 13:13:59+05:30,0.309,2400.0,KG,PLACED
L000496,XMB356,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 13:12:19+05:30,2026-03-31 13:17:09+05:30,0.08066666666666666,720.0,KG,PLACED
L000500,XMS1107,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 13:22:56+05:30,2026-03-31 13:29:41+05:30,0.1125,1035.0,KG,PLACED
L000458,BW13002,Bead Bundle,1325215813079TUNE3,BEAD WINDING PCR,BEAD WINDING PCR,"""1201""",2026-03-31 14:19:25+05:30,2026-03-31 21:40:41+05:30,7.354285714285556,8825.142857142857,NOS,PLACED
L000495,XMB352,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 14:26:54+05:30,2026-03-31 14:45:27+05:30,0.309,2160.0,KG,PLACED
L000468,MB1232,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 14:44:15+05:30,2026-03-31 14:58:18+05:30,0.234,2220.0,KG,PLACED
L000501,XMT1315,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 15:36:40+05:30,2026-03-31 16:17:49+05:30,0.6856666666666666,6205.0,KG,PLACED
L000502,XMT507,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1M,2026-03-31 16:07:39+05:30,2026-03-31 16:33:00+05:30,0.4226666666666667,1440.0,KG,PLACED
L000485,MT4705,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-2,2026-03-31 16:20:29+05:30,2026-03-31 16:49:51+05:30,0.4894999999997222,4180.0,KG,PLACED
L000484,MT273M,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 16:26:20+05:30,2026-03-31 16:35:20+05:30,0.15,540.0,KG,PLACED
L000497,XMB813,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-03-31 16:30:39+05:30,2026-03-31 16:35:20+05:30,0.078,750.0,KG,PLACED
L000478,MR157,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,430-1,2026-03-31 16:48:44+05:30,2026-03-31 16:56:06+05:30,0.12266666666666666,1540.0,KG,PLACED
L000466,IL3,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 17:17:59+05:30,2026-03-31 17:25:39+05:30,0.128,920.0,KG,PLACED
L000453,B355,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 17:21:09+05:30,2026-03-31 17:25:39+05:30,0.075,420.0,KG,PLACED
L000463,HS108,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 17:33:41+05:30,2026-03-31 17:37:41+05:30,0.06666666666666667,440.0,KG,PLACED
L000452,B350,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 18:49:27+05:30,2026-03-31 18:58:27+05:30,0.15,840.0,KG,PLACED
L000454,B460,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 19:02:18+05:30,2026-03-31 19:09:03+05:30,0.1125,660.0,KG,PLACED
L000473,MB614,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,270M,2026-03-31 19:28:05+05:30,2026-03-31 19:34:25+05:30,0.10566666666666667,720.0,KG,PLACED
L000491,T1333,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 20:21:49+05:30,2026-03-31 20:43:31+05:30,0.3616666666666667,2200.0,KG,PLACED
L000456,B815,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 20:39:20+05:30,2026-03-31 20:43:31+05:30,0.06966666666666667,440.0,KG,PLACED
L000492,T15,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 20:45:31+05:30,2026-03-31 20:52:01+05:30,0.1085,660.0,KG,PLACED
L000493,T435M,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 20:45:31+05:30,2026-03-31 20:49:42+05:30,0.06966666666666667,460.0,KG,PLACED
L000467,JT466,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 20:54:01+05:30,2026-03-31 21:06:01+05:30,0.2,1440.0,KG,PLACED
L000488,R158,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-03-31 21:00:06+05:30,2026-03-31 21:05:51+05:30,0.096,675.0,KG,PLACED
L000465,IL007,Inner Liner,1325215813079TUNE3,RHC,CALENDERING,"""1101""",2026-03-31 21:35:39+05:30,2026-03-31 21:54:59+05:30,0.322,483000.0,MM,PLACED
L000457,BA13001,Bead Apex,1325215813079TUNE3,BEAD APEXING,BEAD APEXING,""" 0301""",2026-03-31 21:47:41+05:30,2026-04-01 03:57:59+05:30,6.171666666666667,1932.0,NOS,PLACED
L000460,CPJ120,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-03-31 23:19:03+05:30,2026-03-31 23:23:47+05:30,0.07883791176444445,189210.9882352941,MM,PLACED
L000455,B616M,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-03-31 23:38:25+05:30,2026-03-31 23:42:25+05:30,0.06666666666666667,430.0,KG,PLACED
